Id,Date,DeliveryDate,Quantity,Currency,Supplier,NetAmount
10206,2017-08-15,2017-08-24,26,USD,Computer & Co,289.380005
10206,2017-08-22,2017-08-31,27,USD,Computer & Co,300.51001
10206,2017-08-28,2017-09-07,36,USD,Computer & Co,400.679993
10206,2017-09-05,2017-09-14,19,USD,Computer & Co,211.47000099999997
10206,2017-09-11,2017-09-19,13,USD,Computer & Co,144.690002
10206,2017-09-18,2017-09-24,15,USD,Computer & Co,166.949997
10206,2017-09-25,2017-10-02,14,USD,Computer & Co,155.820007
10206,2017-10-02,2017-10-09,39,USD,Computer & Co,434.07000700000003
10206,2017-10-09,2017-10-17,39,USD,Computer & Co,434.07000700000003
10206,2017-10-19,2017-10-28,43,USD,Computer & Co,478.589996
10206,2017-10-23,2017-11-01,54,USD,Computer & Co,601.02002
10206,2017-10-30,2017-11-06,44,USD,Computer & Co,489.72000099999997
10206,2017-11-06,2017-11-16,17,USD,Computer & Co,189.21000700000002
10206,2017-11-13,2017-11-18,21,USD,Computer & Co,233.729996
10206,2017-11-20,2017-11-28,22,USD,Computer & Co,244.86000099999998
10206,2017-11-28,2017-12-07,23,USD,Computer & Co,255.99000499999997
10206,2017-12-04,2017-12-14,34,USD,Computer & Co,378.420013
10206,2017-12-11,2017-12-21,27,USD,Computer & Co,300.51001
10206,2017-12-18,2017-12-27,42,USD,Computer & Co,467.459991
10206,2017-12-25,2018-01-01,28,USD,Computer & Co,311.640015
10206,2018-01-02,2018-01-07,49,USD,Computer & Co,545.369995
10206,2018-01-08,2018-01-14,44,USD,Computer & Co,489.72000099999997
10206,2018-01-15,2018-01-19,45,USD,Computer & Co,500.85000599999995
10206,2018-01-22,2018-01-27,44,USD,Computer & Co,489.72000099999997
10206,2018-01-29,2018-02-09,55,USD,Computer & Co,612.150024
10206,2018-02-05,2018-02-11,14,USD,Computer & Co,155.820007
10206,2018-02-12,2018-02-19,16,USD,Computer & Co,178.080002
10245,2016-10-27,2016-11-02,3,USD,Computer & Co,30.0900002
10245,2016-11-03,2016-11-10,56,USD,Computer & Co,561.679993
10245,2016-11-15,2016-11-23,43,USD,Computer & Co,431.290009
10245,2016-11-21,2016-11-30,59,USD,Computer & Co,591.77002
10245,2016-11-28,2016-12-06,39,USD,Computer & Co,391.170013
10245,2016-12-05,2016-12-14,35,USD,Computer & Co,351.049988
10245,2016-12-12,2016-12-19,44,USD,Computer & Co,441.32000700000003
10245,2016-12-19,2016-12-31,44,USD,Computer & Co,441.32000700000003
10245,2016-12-26,2017-01-04,48,USD,Computer & Co,481.44000199999994
10245,2017-01-03,2017-01-13,31,USD,Computer & Co,310.929993
10245,2017-01-09,2017-01-17,31,USD,Computer & Co,310.929993
10245,2017-01-16,2017-01-22,41,USD,Computer & Co,411.230011
10245,2017-01-23,2017-02-01,36,USD,Computer & Co,361.079987
10245,2017-01-30,2017-02-03,38,USD,Computer & Co,381.140015
10245,2017-02-07,2017-02-13,67,USD,Computer & Co,672.01001
10245,2017-02-13,2017-02-24,65,USD,Computer & Co,651.950012
10245,2017-02-20,2017-02-28,63,USD,Computer & Co,631.8900150000001
10245,2017-02-27,2017-03-07,92,USD,Computer & Co,922.76001
